,index,id,imdb_id,title,type,genres,production_countries,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
6814,6814,tm190512,tt0119389,The Island on Bird Street,MOVIE,european,DE,1997.0,107.0,7.1,1670.0,4.443,6.7
6815,6815,tm190512,tt0119389,The Island on Bird Street,MOVIE,european,DK,1997.0,107.0,7.1,1670.0,4.443,6.7
6816,6816,tm190512,tt0119389,The Island on Bird Street,MOVIE,european,FR,1997.0,107.0,7.1,1670.0,4.443,6.7
6817,6817,tm190512,tt0119389,The Island on Bird Street,MOVIE,european,GB,1997.0,107.0,7.1,1670.0,4.443,6.7
6818,6818,tm190512,tt0119389,The Island on Bird Street,MOVIE,war,DE,1997.0,107.0,7.1,1670.0,4.443,6.7
6819,6819,tm190512,tt0119389,The Island on Bird Street,MOVIE,war,DK,1997.0,107.0,7.1,1670.0,4.443,6.7
6820,6820,tm190512,tt0119389,The Island on Bird Street,MOVIE,war,FR,1997.0,107.0,7.1,1670.0,4.443,6.7
6821,6821,tm190512,tt0119389,The Island on Bird Street,MOVIE,war,GB,1997.0,107.0,7.1,1670.0,4.443,6.7
6822,6822,tm190572,tt0119229,Grosse Pointe Blank,MOVIE,action,US,1997.0,107.0,7.3,93627.0,11.145000000000001,7.0
6823,6823,tm190572,tt0119229,Grosse Pointe Blank,MOVIE,comedy,US,1997.0,107.0,7.3,93627.0,11.145000000000001,7.0
6824,6824,tm190572,tt0119229,Grosse Pointe Blank,MOVIE,crime,US,1997.0,107.0,7.3,93627.0,11.145000000000001,7.0
6825,6825,tm190572,tt0119229,Grosse Pointe Blank,MOVIE,romance,US,1997.0,107.0,7.3,93627.0,11.145000000000001,7.0
6826,6826,tm190572,tt0119229,Grosse Pointe Blank,MOVIE,thriller,US,1997.0,107.0,7.3,93627.0,11.145000000000001,7.0
6827,6827,tm190579,tt0070323,Little Cigars,MOVIE,comedy,US,1973.0,92.0,5.2,242.0,2.523,6.0
6828,6828,tm190579,tt0070323,Little Cigars,MOVIE,crime,US,1973.0,92.0,5.2,242.0,2.523,6.0
6829,6829,tm190579,tt0070323,Little Cigars,MOVIE,drama,US,1973.0,92.0,5.2,242.0,2.523,6.0
6830,6830,tm190579,tt0070323,Little Cigars,MOVIE,thriller,US,1973.0,92.0,5.2,242.0,2.523,6.0
6831,6831,tm190623,tt0069758,Bad Charleston Charlie,MOVIE,comedy,US,1973.0,91.0,3.8,25.0,1.304,5.6
6832,6832,tm190623,tt0069758,Bad Charleston Charlie,MOVIE,crime,US,1973.0,91.0,3.8,25.0,1.304,5.6
6833,6833,tm190672,tt0108569,Wilder Napalm,MOVIE,comedy,US,1993.0,109.0,5.4,1699.0,2.742,5.6
6834,6834,tm190672,tt0108569,Wilder Napalm,MOVIE,fantasy,US,1993.0,109.0,5.4,1699.0,2.742,5.6
6835,6835,tm191018,tt0068504,The Mansion of Madness,MOVIE,horror,MX,1973.0,99.0,5.0,1040.0,1.418,4.7
6836,6836,tm191083,tt0316078,Kaadhalukku Mariyaadai,MOVIE,drama,IN,1997.0,160.0,8.2,4565.0,0.701,6.1
6837,6837,tm191083,tt0316078,Kaadhalukku Mariyaadai,MOVIE,romance,IN,1997.0,160.0,8.2,4565.0,0.701,6.1
6838,6838,tm191110,tt0120338,Titanic,MOVIE,drama,US,1997.0,194.0,7.9,1133692.0,127.413,7.9
6839,6839,tm191110,tt0120338,Titanic,MOVIE,romance,US,1997.0,194.0,7.9,1133692.0,127.413,7.9
